"Query ID", "Doc ID", "Ranking", "Precision", "Recall"
1,CACM-1605,1,1.000,0.200
1,CACM-1410,2,1.000,0.400
1,CACM-1523,3,0.667,0.400
1,CACM-2379,4,0.500,0.400
1,CACM-2380,5,0.400,0.400
1,CACM-1519,6,0.333,0.400
1,CACM-2319,7,0.286,0.400
1,CACM-1506,8,0.250,0.400
1,CACM-1033,9,0.222,0.400
1,CACM-1544,10,0.200,0.400
1,CACM-1938,11,0.182,0.400
1,CACM-2632,12,0.167,0.400
1,CACM-2371,13,0.154,0.400
1,CACM-1161,14,0.143,0.400
1,CACM-1591,15,0.133,0.400
1,CACM-1393,16,0.125,0.400
1,CACM-1464,17,0.118,0.400
1,CACM-0585,18,0.111,0.400
1,CACM-1749,19,0.105,0.400
1,CACM-2947,20,0.100,0.400
1,CACM-1264,21,0.095,0.400
1,CACM-1226,22,0.091,0.400
1,CACM-2054,23,0.087,0.400
1,CACM-1225,24,0.083,0.400
1,CACM-1827,25,0.080,0.400
1,CACM-2358,26,0.115,0.600
1,CACM-3127,27,0.111,0.600
1,CACM-0637,28,0.107,0.600
1,CACM-1173,29,0.103,0.600
1,CACM-2946,30,0.100,0.600
1,CACM-1542,31,0.097,0.600
1,CACM-1647,32,0.094,0.600
1,CACM-2357,33,0.091,0.600
1,CACM-1657,34,0.088,0.600
1,CACM-3025,35,0.086,0.600
1,CACM-2188,36,0.083,0.600
1,CACM-1680,37,0.081,0.600
1,CACM-0971,38,0.079,0.600
1,CACM-2535,39,0.077,0.600
1,CACM-2560,40,0.075,0.600
1,CACM-1885,41,0.073,0.600
1,CACM-1304,42,0.071,0.600
1,CACM-1753,43,0.070,0.600
1,CACM-1440,44,0.068,0.600
1,CACM-1626,45,0.067,0.600
1,CACM-3023,46,0.065,0.600
1,CACM-2288,47,0.064,0.600
1,CACM-1179,48,0.062,0.600
1,CACM-2950,49,0.061,0.600
1,CACM-1805,50,0.060,0.600
1,CACM-2541,51,0.059,0.600
1,CACM-2740,52,0.058,0.600
1,CACM-0414,53,0.057,0.600
1,CACM-2003,54,0.056,0.600
1,CACM-2378,55,0.055,0.600
1,CACM-2764,56,0.054,0.600
1,CACM-2424,57,0.053,0.600
1,CACM-1750,58,0.052,0.600
1,CACM-2126,59,0.051,0.600
1,CACM-1163,60,0.050,0.600
1,CACM-2153,61,0.049,0.600
1,CACM-0202,62,0.048,0.600
1,CACM-1518,63,0.048,0.600
1,CACM-1341,64,0.047,0.600
1,CACM-2080,65,0.046,0.600
1,CACM-1571,66,0.045,0.600
1,CACM-0972,67,0.045,0.600
1,CACM-2621,68,0.044,0.600
1,CACM-2767,69,0.043,0.600
1,CACM-1195,70,0.043,0.600
1,CACM-1698,71,0.042,0.600
1,CACM-2398,72,0.042,0.600
1,CACM-1960,73,0.041,0.600
1,CACM-2951,74,0.041,0.600
1,CACM-2201,75,0.040,0.600
1,CACM-1526,76,0.039,0.600
1,CACM-0698,77,0.039,0.600
1,CACM-2542,78,0.038,0.600
1,CACM-1844,79,0.038,0.600
1,CACM-1315,80,0.037,0.600
1,CACM-0699,81,0.037,0.600
1,CACM-3069,82,0.037,0.600
1,CACM-2681,83,0.036,0.600
1,CACM-1589,84,0.036,0.600
1,CACM-3087,85,0.035,0.600
1,CACM-2597,86,0.035,0.600
1,CACM-2841,87,0.034,0.600
1,CACM-1685,88,0.034,0.600
1,CACM-3068,89,0.034,0.600
1,CACM-2365,90,0.033,0.600
1,CACM-1236,91,0.033,0.600
1,CACM-0284,92,0.033,0.600
1,CACM-3153,93,0.032,0.600
1,CACM-1642,94,0.032,0.600
1,CACM-2624,95,0.032,0.600
1,CACM-1744,96,0.031,0.600
1,CACM-2629,97,0.031,0.600
1,CACM-1682,98,0.031,0.600
1,CACM-2796,99,0.030,0.600
1,CACM-3048,100,0.030,0.600
2,CACM-2434,1,1.000,0.333
2,CACM-2863,2,1.000,0.667
2,CACM-3078,3,1.000,1.000
2,CACM-0727,4,0.750,1.000
2,CACM-0497,5,0.600,1.000
2,CACM-1364,6,0.500,1.000
2,CACM-0335,7,0.429,1.000
2,CACM-3129,8,0.375,1.000
2,CACM-1012,9,0.333,1.000
2,CACM-2250,10,0.300,1.000
2,CACM-0047,11,0.273,1.000
2,CACM-0616,12,0.250,1.000
2,CACM-1977,13,0.231,1.000
2,CACM-2714,14,0.214,1.000
2,CACM-3136,15,0.200,1.000
2,CACM-3202,16,0.188,1.000
2,CACM-1046,17,0.176,1.000
2,CACM-1861,18,0.167,1.000
2,CACM-1010,19,0.158,1.000
2,CACM-3086,20,0.150,1.000
2,CACM-2304,21,0.143,1.000
2,CACM-1931,22,0.136,1.000
2,CACM-2554,23,0.130,1.000
2,CACM-0276,24,0.125,1.000
2,CACM-1867,25,0.120,1.000
2,CACM-1182,26,0.115,1.000
2,CACM-2650,27,0.111,1.000
2,CACM-1619,28,0.107,1.000
2,CACM-1264,29,0.103,1.000
2,CACM-0408,30,0.100,1.000
2,CACM-2352,31,0.097,1.000
2,CACM-3180,32,0.094,1.000
2,CACM-2939,33,0.091,1.000
2,CACM-0108,34,0.088,1.000
2,CACM-2735,35,0.086,1.000
2,CACM-2664,36,0.083,1.000
2,CACM-1652,37,0.081,1.000
2,CACM-2786,38,0.079,1.000
